DYNA ECO WASH 857;"Hydrocarbons, C11-C14, n-alkanes, isoalkanes, cyclics, < 2% aromatics@@>=55%;<60%|Hydrocarbons, C10-C13, n-alkanes, isoalkanes, cyclics, < 2% aromatics@64742-47-8@>=35%;<40%|Benzenesulfonic acid, 4-C10-C13-sec-alkyl derivs., compds. with 2-propanamine@84961-74-0@>=1%;<5%|2-(8-heptadecenyl)-4,5-dihydro-1H-imidazole-1-ethylamine@3528-63-0@>0,1%;<0,5%"
DYNA ECO WASH 880;"Hydrocarbons, C10-C13, n-alkanes, isoalkanes, cyclis, < 2% aromatics@@>=45%;<50%|Benzenesulfonic acid, 4-C10-C13-sec-alkyl derivs., compds. with 2-propanamine@84961-74-0@>=1%;<5%"
Dyna UV Wash 906;"Hydrocarbons, C10-C13, n-alkanes, isoalkanes, cyclics, < 2% aromatics@@>=40;<45%|2-(2-butoxyethoxy)ethanol@112-34-5@>=15%,<20%|1-octyl-2-PYRROLIDON@2687-94-7@>=0,5%;<1%"
Dyna Wash G60;"Hydrocarbons, C10-C13, n-alkanes, isoalkanes, cyclics, < 2% aromatics@@>=95%;<100%|Triisobutyl phosphate@126-71-6@>=0,1%;<0,5%"
Dyna Wash G60EC;"HYDROCARBONS, C10-C13, N-ALKANES, ISOALKANES, CYCLICS; < 2% AROMATICS@@ ≥ 90 - < 95 %|DODECAN-1-OL@112-53-8@ ≥ 1 - < 2,5 % "
Dyna Wash G101;"Hydrocarbons, C12-C15, n-alkanes, isoalkanes, cyclics, < 2% aromatics@@>=95%;<100%"
Eggolan E 10101;Destillate (Erdöl), mit Wasserstoff behandelte leichte@64742-47-8@50% - 100%|Alkohole, C10-C16@67762-41-8@2,5% - <3%|Tensid@26264-05-1@1% - <=2,5%
Eggolan E 10111;Destillate (Erdöl), mit Wasserstoff behandelte leichte@64742-47-8@>=25% - <=100%
Eggolan E 15133;Destillate (Erdöl), mit Wasserstoff behandelte leichte@64742-47-8@20% - 50%|Alkohole, C10 - C16@67762-41-8@>=0,25% - <=2,5%|Fettalkoholethoxylat@68439-50-9@>=0,25% - <=1%|N-Oleoyl-Sarcosid@110-25-8@>=0,25 - <=1%
Eggolan E 60101;Naphtha (Erdöl), mit Wasserstoffbehandelt, schwer@64742-47-8@50% - 100%|Atkohote, ClO - C16@67762-41-8@2,5% - <3%|Tensid@26264-05-1@1% - <=2,5%
Eggolan E 60122;Naphtha (Erdöl), mit Wasserstoffbehandelt, schwer@64742-48-9@50% - 100%
Eggolan E 60277;Naphtha (Erdöl), mit Wasserstoffbehandelt, schwer@64742-48-9@>=25% - <=100%|Fettalkoholethoxylat@68439-50-9@0,3% - <1%|N-Oleoyl-Sarcosid@110-25-8@0,3% - <1%
Eggolan E 70277;Destillate (Erdöl), mit Wasserstoff behandelte leichte@64742-47-8@50-100%|Fettalkoholethoxylat@68439-50-96@>=0,25-<1%|N-Oleoyl-Sarcosid@110-25-8@>=0,25-<1%
Eggolan U 75133;2-(2-Butoxyethoxy)ethanol@112-34-5@20% bis 40%|2-Ethylhexanol, ethoxiliert, propoxiliert@64366-70-7@≤ 2,5%
Eggolan UM 95133;2-(2-Butoxyethoxy)ethanol@112-34-5@20% bis 40%| 2-Ethylhexanol, ethoxiliert, propoxiliert@64366-70-7@≤ 2,5%
Elettra 1.0;Kohlenwasserstoffe,  C10-C13, n-Alkane, Isoalkane, zyklische Verbindungen, <2% Aromaten@64742-48-9@>=50%
Elettra 1.2;"Kohlenwasserstoffe,  C10-C13, n-Alkane, Isoalkane, zyklische Verbindungen, <2% Aromaten@64742-48-9@>=50%|Aliphatischer Alkohol, ethoxyliert@68439-50-9@>= 0,1%; <1%"
Elettra ECO 202-2.0;Hydrocarbons, C12-C15, n.alkanes, isoalkanes, cyclics, <2% aromatics@EC 920-107-4@15 - 20%|Xylol (Isomerengemisch)@1330-20-7@< 0,05%
Elettra Non VOC 2.0;"Hydrocarbons, C12-C15, n-alkanes, isoalkanes, cyclics, <2%aromatics@@>=50%|Aliphatischer Alkohol, ethoxyliert@68439-50-9@>= 0,1%; <1%"
Elettra Non VOC 5.0;"Kohlenwasserstoffe, C15-C20, n-Alkane, Isoalkane, Cyclene, <2% Aromaten@@>=25%; <50%|Hydrocarbons, C12-C15, n-alkanes, isoalkanes, cyclics, <2%aromatics@@>=10; <25%|Aliphatischer Alkohol, ethoxyliert@68439-50-9@>= 0,1%; <1%"
Elettra UV 1.0;"Kohlenwasserstoffe,  C10-C13, n-Alkane, Isoalkane, zyklische Verbindungen, <2% Aromaten@64742-48-9@>=50%|2-(2-Butoxyethoxy)ethanol@112-34-5@>=25%; <50%|Kohlenwasserstoffe, C9-C11, n-Alkane, Isoalkane, Cyclene, < 2% Aromaten@64742-48-9@>=1; <10%"
Elettra UV 2.0;"1-Butoxy-2-propanol@5131-66-8@>=25%; <50%|2-(2-Butoxyethoxy)ethanol@112-34-5@>=10; <25%|Aliphatischer Alkohol, ethoxyliert@68439-50-9@>= 0,1%; <1%"
Euroclean 60;Hydrocarbons, C10-C13, n-alkane, isoalkane, cyclische, <0.1% Aromaten@EC 918-481-9@50 - 100%
Euroclean 60 N Plus;Hydrocarbons, C10-C13, n-alkane, isoalkane, cyclische, <0.1% ARomaten@EC 918-481-9@50 - 100%
Euroclean 60 V;Hydrocarbons, C10-C13, n-alkane, isoalkane, cyclische, <0.1% Aromaten@EC 918-481-9@50 - 100%
Euroclean 100;Distillates (petroleum), hydrotreated llight (>0.01 kPa, 20°C)@64742-47-8@50 - 100%
Euroclean 100 Web;Distillates (petroleum), hydrotreated light (>0.01 kPa, 20°C)@64742-47-8@50 - 100%
Eurostar 65 / 1.0;"Kohlenwasserstoffe,  C10-C13, n-Alkane, Isoalkane, zyklische Verbindungen, <2% Aromaten@64742-48-9@>=50%; <100%|2-(2-Butoxyethoxy)ethanol@112-34-5@>0,1%; <1%"
Eurostar 65 / 2.9;"Kohlenwasserstoffe,C10-C13,n-Alkane,Isoalkane,zyklischeVerbindungen,<2%Aromaten@64742-48-9@>=50%; <100%"
Eurostar 65 / 4.0;"Kohlenwasserstoffe, C10-C13, n-Alkane, Isoalkane, zyklischeVerbindungen, <2%Aromaten@64742-48-9@>=50%|AliphatischerAlkohol,ethoxyliert@68439-50-9@>=0,1; <1%"
Eurostar 65 / 5.0;Kohlenwasserstoffe,C10-C13, n-Alkane, Isoalkane, zyklischeVerbindungen, <2%Aromaten@64742-48-9@>=50%
Eurostar 65 / 5.1;Kohlenwasserstoffe, C10-C13, n-Alkane, Isoalkane, zyklische Verbindungen, <2% Aromaten@64742-48-9@>= 50%
Eurostar 75 W;Kohlenwasserstoffe,  C11-C14, n-Alkane, Isoalkane, zyklische Verbindungen, <2% Aromaten@64742-47-8@>=50%
Eurostar 100 W;Hydrocarbons, C12-C15, n-alkanes, isoalkanes,cyclics, <2%aromatics@@>=50%
Eurostar NV;"Hydrocarbons, C12-C15, n-alkanes, isoalkanes, cyclics, <2%aromatics@@>=50%|Aliphatischer Alkohol, ethoxyliert@68439-50-9@>=0,1; <1%"
Eurostar NV 5.0;"Kohlenwasserstoffe, C15-C20, n-Alkane, Isoalkane, Cyclene, <2% Aromaten@@>=25%; <50%|Hydrocarbons,C12-C15,n-alkanes,isoalkanes,cyclics,<2%aromatics@@>=10%; <25%|Aliphatischer Alkohol, ethoxyliert@68439-50-9 @>=0,1; <1%"
Eurostar NV 8.0;"Hydrocarbons, C12-C15, n-alkanes, isoalkanes, cyclics, <2%aromatics@@>=25%; <50%"
Eurostar UV MIX;"Kohlenwasserstoffe,  C10-C13, n-Alkane, Isoalkane, zyklische Verbindungen, <2% Aromaten@64742-48-9@>=50%|2-(2-Butoxyethoxy)ethanol@112-34-5@>=25%; <50%|Kohlenwasserstoffe, C9-C11, n-Alkane, Isoalkane, Cyclene, < 2% Aromaten@64742-48-9@>=1%; <10%"
Feboclean BIO-3;Docusatnatrium@577-11-7@< 2,50%
Filtrate 60 Wash;Hydrocarbons, c10-c13, n-alkanes, isoalkanes, cyclics, < 2% aromatics@64742-48-9@>=90%
Filtrate 100 wash;Hydrocarbons, C12-C15, n-alkanes, isoalkanes < 2% aromatics@64742-47-8@>=90%
Green wash HS;Hydrocarbons, C12-C15, n-alkanes, isoalkanes < 2% aromatics@64742-47-8@<10%
GREENKLEAN ACQUA;nichtionische Tenside@@1-5%|2-(2-Butoxyethoxy)ethanol@112-34-5@5-15%|Triethanolamin@102-71-6@1-5%
GREENKLEAN PROFONDO;2-Methoxy-methylethoxy-propanol@34590-94-8@>30%|4-Hydroxy-4-methyl-pentan-2-on@123-42-2@5-15%|DECETH-8@26183-52-8@5-15%
